Country,Country_Code,Life_Expectancy
Portugal,PRT,82.3292682926829
Paraguay,PRY,73.844
West Bank and Gaza,PSE,65.17
Pacific island small states,PSS,69.2745949035856
Post-demographic dividend,PST,80.8341681111503
French Polynesia,PYF,84.07
Qatar,QAT,82.368
Romania,ROU,76.4048780487805
Russian Federation,RUS,73.2546341463415
Rwanda,RWA,67.785
South Asia,SAS,72.3247648783903
Saudi Arabia,SAU,78.732
Sudan,SDN,66.331
Senegal,SEN,68.683
Singapore,SGP,83.0975609756098
Solomon Islands,SLB,70.528
Sierra Leone,SLE,61.786
El Salvador,SLV,72.099
San Marino,SMR,85.706
"Somalia, Fed. Rep.",SOM,58.816
Serbia,SRB,76.1414634146341
Sub-Saharan Africa (excluding high income),SSA,62.0653637736909
South Sudan,SSD,57.617
Sub-Saharan Africa,SSF,62.6028583619521
Small states,SST,72.9130400157843
Sao Tome and Principe,STP,69.718
Suriname,SUR,73.631
Slovak Republic,SVK,78.119512195122
Slovenia,SVN,81.9292682926829
Sweden,SWE,83.309756097561
Eswatini,SWZ,64.123
Sint Maarten (Dutch part),SXM,76.371
Seychelles,SYC,75.419512195122
Syrian Arab Republic,SYR,72.12
Turks and Caicos Islands,TCA,78.008
Chad,TCD,55.069
East Asia & Pacific (IDA & IBRD countries),TEA,75.9085643603807
Europe & Central Asia (IDA & IBRD countries),TEC,74.6977585417017
Togo,TGO,62.74
Thailand,THA,76.412
Tajikistan,TJK,71.79
Turkmenistan,TKM,70.073
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.5699258379688
Timor-Leste,TLS,67.689
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,71.3194560888195
Tonga,TON,72.895
South Asia (IDA & IBRD),TSA,72.3247648783903
Sub-Saharan Africa (IDA & IBRD countries),TSS,62.6028583619521
Trinidad and Tobago,TTO,73.49
Tunisia,TUN,76.508
Turkiye,TUR,77.156
Tuvalu,TUV,67.105
Tanzania,TZA,66.995
Uganda,UGA,68.252
Ukraine,UKR,73.422
Upper middle income,UMC,76.1947274320673
Uruguay,URY,78.138
United States,USA,78.3853658536585
Uzbekistan,UZB,72.388
St. Vincent and the Grenadines,VCT,71.23
"Venezuela, RB",VEN,72.514
British Virgin Islands,VGB,77.276
Virgin Islands (U.S.),VIR,80.519512195122
Viet Nam,VNM,74.588
Vanuatu,VUT,71.477
World,WLD,73.3288401042825
Samoa,WSM,71.698
Kosovo,XKX,78.033
"Yemen, Rep.",YEM,69.295
South Africa,ZAF,66.139
Zambia,ZMB,66.349
Zimbabwe,ZWE,62.775
