"","","","2023","2023"
"","","","Unit","Value"
"Austria","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","178.01"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","10.64"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","2.14"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","91.32"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Meat","kg/cap","39.43"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","165.43"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","47.83"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","196.28"
"Bahamas","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","13.69"
"Bahamas","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","27.68"
"Bahamas","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","309.87"
"Bahamas","Food supply quantity (kg/capita/yr)","Meat","kg/cap","114.91"
"Bahamas","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","130.03"
"Bahamas","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","70.36"
"Bahamas","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","173.13"
"Bahrain","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","10.69"
"Bahrain","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","19.76"
"Bahrain","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","125.14"
"Bahrain","Food supply quantity (kg/capita/yr)","Meat","kg/cap","76.26"
"Bahrain","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","194.06"
"Bahrain","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","51.93"
"Bahrain","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","139.38"
"Bangladesh","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","3.77"
"Bangladesh","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","26.98"
"Bangladesh","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","30.35"
"Bangladesh","Food supply quantity (kg/capita/yr)","Meat","kg/cap","4.49"
"Bangladesh","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","76.12"
"Bangladesh","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","9.95"
"Bangladesh","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","52.15"
"Barbados","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","9.86"
"Barbados","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","43.16"
"Barbados","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","103.16"
"Barbados","Food supply quantity (kg/capita/yr)","Meat","kg/cap","76.25"
"Barbados","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","111.64"
"Barbados","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","50.73"
"Barbados","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","121.42"
"Belarus","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","16.7"
"Belarus","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","12.46"
"Belarus","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","62.4"
"Belarus","Food supply quantity (kg/capita/yr)","Meat","kg/cap","111.72"
"Belarus","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","170.09"
"Belarus","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","65.45"
"Belarus","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","178.34"
"Belgium","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","31.83"
"Belgium","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","23.93"
"Belgium","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","79.6"
"Belgium","Food supply quantity (kg/capita/yr)","Meat","kg/cap","59.97"
"Belgium","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","204.51"
"Belgium","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","57.51"
"Belgium","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","213.66"
"Belize","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","4.78"
"Belize","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","16.94"
"Belize","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","60.93"
"Belize","Food supply quantity (kg/capita/yr)","Meat","kg/cap","68.18"
