Entity,Code,Year,"Obesity among adults, BMI >= 30 kg/m2 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years of age"
Tunisia,TUN,2023,27.22567
Turkey,TUR,2023,30.360369
Turkmenistan,TKM,2023,20.524183
Tuvalu,TUV,2023,64.14551
Uganda,UGA,2023,7.646965
Ukraine,UKR,2023,27.759678
United Arab Emirates,ARE,2023,30.26771
United Kingdom,GBR,2023,29.023058
United States,USA,2023,41.57081
Uruguay,URY,2023,35.41038
Uzbekistan,UZB,2023,29.433155
Vanuatu,VUT,2023,21.17987
Venezuela,VEN,2023,23.066704
Vietnam,VNM,2023,2.2934575
Yemen,YEM,2023,11.206609
Zambia,ZMB,2023,9.5852585
Zimbabwe,ZWE,2023,12.747547
