Country,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Vegetables,Country_Code
Kuwait,14.03,12.97,92.8,62.54,141.52,39.05,162.89,KWT
Kyrgyz Republic,6.48,1.46,39.55,39.97,213.87,54.33,189.36,KGZ
Lao PDR,1.83,28.52,132.78,31.08,10.15,13.75,201.53,LAO
Latvia,9.0,24.49,62.47,82.65,259.7,62.49,144.55,LVA
Lebanon,7.11,4.74,103.77,38.19,111.72,67.08,138.16,LBN
Lesotho,0.55,1.92,15.6,18.79,83.43,26.29,31.13,LSO
Liberia,1.5,4.75,36.36,12.32,3.3,6.49,27.1,LBR
Libya,8.88,12.88,89.94,43.68,141.74,41.3,193.31,LBY
Lithuania,13.81,28.51,58.04,80.87,292.58,101.44,99.61,LTU
Luxembourg,25.47,30.29,135.91,83.03,257.06,178.82,219.13,LUX
Madagascar,0.49,3.67,36.7,5.34,15.18,7.71,13.48,MDG
Malawi,0.88,8.77,175.94,28.23,10.95,10.22,86.46,MWI
Malaysia,21.65,51.03,59.99,69.07,44.8,44.4,64.9,MYS
Maldives,20.17,79.74,168.51,29.62,132.9,31.78,195.96,MDV
Malta,13.14,31.1,83.49,71.76,272.83,83.59,172.6,MLT
Marshall Islands,16.45,44.57,25.42,125.68,50.7,69.74,92.45,MHL
Mauritania,1.06,7.6,22.01,36.53,117.97,37.59,45.69,MRT
Mauritius,7.71,29.4,57.63,64.55,154.35,39.75,153.35,MUS
Mexico,21.55,13.55,137.38,78.22,121.99,42.02,66.47,MEX
"Micronesia, Fed. Sts.",5.1,48.99,32.83,63.99,10.65,55.43,39.27,FSM
Mongolia,6.94,1.03,20.84,136.14,186.8,88.57,102.3,MNG
Montenegro,13.38,11.92,120.76,96.86,443.47,126.26,165.42,MNE
Morocco,7.67,16.71,88.99,32.79,35.76,38.87,86.01,MAR
Mozambique,0.49,12.87,16.48,10.35,4.81,6.98,42.08,MOZ
Myanmar,1.98,40.35,40.13,20.88,8.82,24.91,80.43,MMR
Namibia,0.84,9.67,46.39,24.19,57.17,76.22,25.1,NAM
Nauru,11.59,26.06,93.88,109.41,83.3,85.38,40.19,NRU
Nepal,2.36,4.28,51.26,14.48,42.41,7.48,149.05,NPL
Netherlands,17.85,19.08,157.9,71.58,310.2,49.4,125.7,NLD
New Caledonia,8.59,22.5,94.47,89.59,129.66,39.55,98.77,NCL
New Zealand,10.87,24.61,107.94,79.54,61.81,55.1,137.9,NZL
Nicaragua,4.75,7.34,59.44,36.26,135.0,50.02,37.16,NIC
Niger,0.23,1.87,21.44,7.66,36.24,5.29,133.51,NER
Nigeria,2.62,6.9,68.27,7.11,4.07,7.45,65.11,NGA
North Macedonia,8.07,8.01,97.56,51.48,156.38,59.29,298.72,MKD
Norway,12.1,49.1,113.83,70.4,184.58,65.58,146.38,NOR
Oman,5.85,28.15,141.18,37.59,255.69,29.16,274.57,OMN
Pakistan,3.86,1.35,24.05,21.24,129.71,28.04,30.43,PAK
Panama,7.07,14.89,154.28,78.02,36.35,65.57,41.87,PAN
