Country,Country_Code,Eggs (kg/capita/year),Fish & Seafood (kg/capita/year),Fruits (kg/capita/year),Meat (kg/capita/year),Milk (kg/capita/year),Sugar (kg/capita/year),Vegetables (kg/capita/year),GDP per Capita (US$),Life Expectancy (Years),Diabetes Prevalence (%),Obesity (%)
Ethiopia,ETH,0.3,0.5,10.97,6.91,30.81,9.0,11.71,1055.81091592527,67.315,4.4,2.369134
Fiji,FJI,12.36,27.95,77.77,63.16,58.78,113.67,130.21,5926.20586394763,67.316,16.6,38.401283
Finland,FIN,10.45,31.49,92.17,69.39,257.81,48.62,103.16,52834.2916752703,81.5853658536585,6.9,25.841282
France,FRA,13.14,32.64,105.19,80.31,258.7,34.05,112.76,44700.1384177544,82.8317073170732,6.5,12.709852
French Polynesia,PYF,11.51,50.51,76.65,98.47,138.15,37.35,139.88,21832.2831795569,84.07,22.8,
Gabon,GAB,0.85,27.03,131.3,63.08,31.81,22.85,55.48,7802.82433276138,68.337,8.5,21.065214
"Gambia, The",GMB,1.97,20.17,6.07,19.14,42.18,63.18,29.14,883.024111719809,65.86,5.5,10.696513
Georgia,GEO,11.27,10.33,47.76,45.42,188.82,37.88,83.52,8283.66960652261,74.496,6.7,39.264095
Germany,DEU,15.9,12.98,86.68,70.67,226.58,41.23,175.76,54776.7668235491,81.0414634146342,7.8,24.401688
Ghana,GHA,1.06,23.62,165.0,17.37,5.9,11.03,29.17,2383.90410483418,65.498,2.7,13.339685
Greece,GRC,9.65,19.63,121.56,81.99,257.2,38.72,130.05,23343.7103964562,81.7365853658537,8.0,33.259403
Grenada,GRD,21.36,20.33,160.19,80.46,149.13,50.34,103.18,11414.4781691181,75.205,11.3,31.125874
Guatemala,GTM,12.42,3.77,69.75,54.26,82.98,82.49,67.55,5758.32760847852,72.602,13.2,25.86171
Guinea,GIN,1.87,10.65,103.44,15.18,14.9,20.43,42.91,1555.49375806861,60.74,4.6,8.86702
Guinea-Bissau,GNB,0.82,2.35,46.43,14.01,16.98,7.03,18.52,988.087886357022,64.085,4.8,10.902318
Guyana,GUY,1.6,24.76,345.9,88.72,129.27,75.56,315.8,20473.7002190617,70.18,16.4,28.93201
Haiti,HTI,0.39,5.42,87.35,20.73,6.95,21.95,15.06,1705.75808460999,64.936,8.5,10.37998
Honduras,HND,3.94,4.39,57.75,37.69,65.06,57.51,35.73,3227.45762509776,72.884,5.0,29.987526
Hungary,HUN,14.3,6.46,81.26,76.33,189.0,59.75,98.32,22230.6277875187,76.5707317073171,8.3,36.25648
Iceland,ISL,9.94,83.81,130.14,98.05,202.17,97.2,157.68,82138.7892973557,82.4560975609756,6.9,23.153383
India,IND,4.72,8.73,65.64,8.12,87.43,19.63,92.91,2530.12031278204,72.003,10.5,7.571122
Indonesia,IDN,20.87,40.42,85.38,19.95,14.95,28.05,49.21,4876.30774512252,71.146,11.3,11.400893
"Iran, Islamic Rep.",IRN,8.47,11.3,123.37,29.9,26.5,31.61,105.38,5049.29931642754,77.654,9.0,25.261658
Iraq,IRQ,2.5,2.65,55.48,24.57,53.58,67.64,89.49,5965.31835077761,72.324,13.4,36.42911
Ireland,IRL,13.37,19.27,106.93,98.38,324.22,98.78,185.62,106818.917130804,82.8073170731707,3.6,30.281746
Israel,ISR,12.5,24.75,117.79,108.73,175.54,55.25,143.2,52003.7200729997,83.1951219512195,10.1,23.285547
Italy,ITA,13.14,29.39,121.11,71.2,232.07,40.12,120.49,39277.0838783918,83.3512195121951,7.7,18.037563
Jamaica,JAM,3.53,27.85,144.07,66.96,107.23,50.38,122.62,7542.40084275345,71.479,12.5,34.829773
Jordan,JOR,4.58,4.77,40.85,35.09,103.56,81.12,117.61,4466.08314208575,77.814,20.5,33.21776
Kazakhstan,KAZ,9.71,3.93,63.55,64.9,191.47,26.3,301.47,12879.4275257974,74.402,6.8,21.862492
Kenya,KEN,1.25,2.86,79.21,10.18,87.95,21.23,55.58,1942.58802756191,63.646,3.1,10.030712
Kiribati,KIR,3.48,72.28,69.7,45.09,7.47,50.42,44.37,2177.70125812262,66.473,24.6,45.006172
Kuwait,KWT,14.03,12.97,92.8,62.54,141.52,39.05,162.89,34075.849012909,83.1878048780488,25.6,41.28636
Kyrgyz Republic,KGZ,6.48,1.46,39.55,39.97,213.87,54.33,189.36,2138.22210211478,72.2487804878049,7.6,20.76793
Lao PDR,LAO,1.83,28.52,132.78,31.08,10.15,13.75,201.53,2066.94979776957,68.964,6.7,8.48972
Latvia,LVA,9.0,24.49,62.47,82.65,259.7,62.49,144.55,22710.2637544197,75.4268292682927,7.1,27.737549
Lebanon,LBN,7.11,4.74,103.77,38.19,111.72,67.08,138.16,3477.72489842684,77.817,12.3,31.15567
Lesotho,LSO,0.55,1.92,15.6,18.79,83.43,26.29,31.13,916.282976983803,57.375,6.2,19.66638
Liberia,LBR,1.5,4.75,36.36,12.32,3.3,6.49,27.1,799.194470229642,62.163,9.2,15.661231
Libya,LBY,8.88,12.88,89.94,43.68,141.74,41.3,193.31,6026.51518708812,69.339,15.8,33.36376
Lithuania,LTU,13.81,28.51,58.04,80.87,292.58,101.44,99.61,27786.0057829276,77.290243902439,7.5,26.207373
Luxembourg,LUX,25.47,30.29,135.91,83.03,257.06,178.82,219.13,133230.619178899,83.309756097561,5.8,20.666752
Madagascar,MDG,0.49,3.67,36.7,5.34,15.18,7.71,13.48,508.718427705591,63.632,4.6,3.8280995
Malawi,MWI,0.88,8.77,175.94,28.23,10.95,10.22,86.46,633.214767978695,67.353,5.7,6.3852744
Malaysia,MYS,21.65,51.03,59.99,69.07,44.8,44.4,64.9,11386.0395636528,76.657,21.1,22.937288
Maldives,MDV,20.17,79.74,168.51,29.62,132.9,31.78,195.96,12587.6126038651,81.041,9.5,17.316954
Malta,MLT,13.14,31.1,83.49,71.76,272.83,83.59,172.6,40905.8059585057,83.3560975609756,10.0,33.243935
Marshall Islands,MHL,16.45,44.57,25.42,125.68,50.7,69.74,92.45,6793.24495895856,66.945,25.7,41.267246
Mauritania,MRT,1.06,7.6,22.01,36.53,117.97,37.59,45.69,2135.78187606359,68.484,5.2,21.513779
Mauritius,MUS,7.71,29.4,57.63,64.55,154.35,39.75,153.35,11269.9684462139,73.4121951219512,20.1,20.673388
Mexico,MEX,21.55,13.55,137.38,78.22,121.99,42.02,66.47,13860.9597809326,75.069,16.4,36.702656
"Micronesia, Fed. Sts.",FSM,5.1,48.99,32.83,63.99,10.65,55.43,39.27,3919.64307910859,67.198,19.2,46.279476
Mongolia,MNG,6.94,1.03,20.84,136.14,186.8,88.57,102.3,5838.63108083902,72.1224390243902,10.3,24.691456
Montenegro,MNE,13.38,11.92,120.76,96.86,443.47,126.26,165.42,12259.8775034436,77.5878048780488,10.7,20.234118
Morocco,MAR,7.67,16.71,88.99,32.79,35.76,38.87,86.01,3813.72607421875,75.313,11.9,21.533735
Mozambique,MOZ,0.49,12.87,16.48,10.35,4.81,6.98,42.08,622.000297682823,63.611,3.0,8.905512
Myanmar,MMR,1.98,40.35,40.13,20.88,8.82,24.91,80.43,1233.19666209269,66.889,6.7,7.9801545
Namibia,NAM,0.84,9.67,46.39,24.19,57.17,76.22,25.1,4187.60500396525,67.385,5.3,16.186716
Nauru,NRU,11.59,26.06,93.88,109.41,83.3,85.38,40.19,12752.4723855838,62.109,21.8,71.184906
Nepal,NPL,2.36,4.28,51.26,14.48,42.41,7.48,149.05,1382.33055769304,70.354,7.7,7.1911736
Netherlands,NLD,17.85,19.08,157.9,71.58,310.2,49.4,125.7,63515.6030780019,81.8634146341464,5.0,16.816132
New Caledonia,NCL,8.59,22.5,94.47,89.59,129.66,39.55,98.77,33701.8923322781,78.766,22.0,
New Zealand,NZL,10.87,24.61,107.94,79.54,61.81,55.1,137.9,49075.9562832927,81.7585365853659,6.7,34.359642
Nicaragua,NIC,4.75,7.34,59.44,36.26,135.0,50.02,37.16,2609.44492072931,74.947,10.4,33.27313
Niger,NER,0.23,1.87,21.44,7.66,36.24,5.29,133.51,638.336080897887,61.183,4.1,5.7145605
Nigeria,NGA,2.62,6.9,68.27,7.11,4.07,7.45,65.11,2138.76383719983,54.462,3.0,11.62984
North Macedonia,MKD,8.07,8.01,97.56,51.48,156.38,59.29,298.72,8674.35846327485,75.3160975609756,7.4,30.65815
Norway,NOR,12.1,49.1,113.83,70.4,184.58,65.58,146.38,87497.2179649556,83.0121951219512,4.8,20.430187
Oman,OMN,5.85,28.15,141.18,37.59,255.69,29.16,274.57,21027.7384778886,80.031,17.0,29.058323
Pakistan,PAK,3.86,1.35,24.05,21.24,129.71,28.04,30.43,1360.32417758419,67.649,31.4,22.430767
Panama,PAN,7.07,14.89,154.28,78.02,36.35,65.57,41.87,18797.1933994045,79.594,11.1,36.843
Papua New Guinea,PNG,0.44,7.1,211.7,58.47,6.29,9.61,51.38,2966.06830432055,66.134,14.1,27.065336
Paraguay,PRY,17.23,5.33,78.18,26.94,59.52,26.85,65.3,6299.99026533713,73.844,9.4,33.229572
Peru,PER,10.95,25.94,135.55,55.44,89.91,20.61,62.59,7887.54185920108,77.74,6.4,28.157425
Philippines,PHL,5.75,26.34,98.2,33.64,23.85,28.3,59.48,3804.08274131097,69.833,7.5,9.254258
Poland,POL,5.17,11.15,66.88,83.31,206.3,55.83,123.56,22145.2660647429,78.2585365853659,8.1,25.723726
Portugal,PRT,12.86,53.49,136.22,99.32,239.4,23.33,127.06,27634.6183139773,82.3292682926829,10.5,23.006374
Qatar,QAT,15.15,22.03,71.22,71.43,99.79,35.12,173.75,81816.9797967481,82.368,24.6,41.91146
"Korea, Rep.",KOR,13.0,52.82,48.06,84.0,28.99,54.48,214.62,35674.095995632,83.4292682926829,9.6,7.1282735
Moldova,MDA,12.28,19.48,148.25,40.5,120.27,39.61,118.47,6799.58594644576,71.198,6.3,27.02871
Romania,ROU,13.16,8.7,112.88,72.45,233.38,30.13,124.79,18244.4186876321,76.4048780487805,7.5,36.64034
Russian Federation,RUS,16.83,22.8,73.1,84.77,198.41,66.55,106.74,14159.3876953125,73.2546341463415,5.9,21.420443
Rwanda,RWA,0.36,5.15,99.31,6.43,13.7,20.86,45.54,1027.03446826565,67.785,2.1,4.9020166
St. Kitts and Nevis,KNA,3.8,36.42,198.27,88.88,53.33,74.91,36.05,22576.9248439166,72.145,13.8,47.204964
St. Lucia,LCA,5.13,24.95,115.04,90.33,69.22,49.71,51.52,13554.7684784933,72.697,11.4,34.529903
